值（十进制）,包头
0,Hop-by-Hop选项由传送路径上每个节点和路由器读取并处理，用于巨型数据包和路由器警报，典型例子是RSVP。
5,路由器警告选项
6,TCP
17,UDP
41,经过封装的Ipv6包头
43,路由类似于IPv4的松散源路由。IPv6的源节点可以利用路由扩展包头指定一个松散源路由，即分组从信源到信宿需要经过的中转路由器列表。
44,分段提供分段和重装服务。当分组大于链路最大传输单元（MTU）时，源节点负责对分组进行分段，并在分段扩展包头中提供重装信息。       IPv6包的不可分段部分包括：IPv6包头、Hop-by-Hop选项包头、目的地选项包头（适用于中转路由器）和路由包头。IPv6包的可分段部分包括：认证包头、ESP协议包头、目的地选项包头（适用于最终目的地）和上层协议数据单元PDU。       注：a、在IPv6中，只有源节点才能对负载进行分段。 b、IPv6超大包不能使用该项服务。
46,RSVP
50,ESP协议（扩展包头）
51,认证AH（扩展包头）
58,ICMPv6
59,无下一包头
60,目的地选项（扩展包头）      需要被中间目的地或最终目的地检查的信息。有两种用法： ·如果存在路由扩展头，则每一个中转路由器都要处理这些选项。 ·如果没有路由扩展头，则只有最终目的节点需要处理这些选项。
